NumeroHomologacao;DataEmissaoHomologacao;TipodeProduto;Modelo;NomeComercial;ModoOperacao5G;Fabricante
162182100953;2023-02-15;Telefone Móvel Celular;SM-S901E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
162172100953;2022-05-27;Telefone Móvel Celular;SM-S906E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
160332200330;2023-02-02;Telefone Móvel Celular;XT2237-1;;Ambos (SA / NSA);Motorola Mobility LLC
152972213366;2022-12-12;Telefone Móvel Celular;RMX3686;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
149992009185;2021-02-12;Telefone Móvel Celular;M2007J3SG;Mi 10T Pro;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
149992009185;2021-02-12;Telefone Móvel Celular;M2007J3SY;Mi 10T;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
148742000330;2022-05-13;Telefone Móvel Celular;XT2113-3;Motorola Moto G 5G;Non-standalone (NSA);Motorola Mobility LLC
147632207600;2023-02-17;Telefone Móvel Celular;T771H;TCL 40 R 5G;Ambos (SA / NSA);TCL Mobile Communication (HK) Co., Ltd.
137392107600;2022-01-20;Telefone Móvel Celular;T810H;TCL 20 Pro 5G;Non-standalone (NSA);TCL Mobile Communication (HK) Co., Ltd.
132412100330;2022-04-01;Telefone Móvel Celular;XT2175-1;Moto g200;Ambos (SA / NSA);Motorola Mobility LLC
129992001993;2022-11-22;Telefone Móvel Celular;A2411;iPhone 12 Pro Max;Ambos (SA / NSA);Apple Inc.
129982001993;2022-11-21;Telefone Móvel Celular;A2407;iPhone 12 Pro;Ambos (SA / NSA);Apple Inc.
129972001993;2022-10-24;Telefone Móvel Celular;A2399;iPhone 12 Mini;Ambos (SA / NSA);Apple Inc.
129962001993;2022-10-21;Telefone Móvel Celular;A2403;iPhone 12;Ambos (SA / NSA);Apple Inc.
128972100953;2022-04-04;Telefone Móvel Celular;SM-M526B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
124652100330;2022-04-06;Telefone Móvel Celular;XT2169-1;Moto G71;Non-standalone (NSA);Motorola Mobility LLC
123142003109;2021-02-10;Telefone Móvel Celular;ZS670KS;Zenfone 7;Ambos (SA / NSA);Asustek Computer Inc.
120462113411;2022-01-20;Telefone Móvel Celular;TA-1370;Nokia G50;Ambos (SA / NSA);HMD Global Oy
115312000330;2022-05-10;Telefone Móvel Celular;XT2075-3;Motorola Moto G 5G Plus;Non-standalone (NSA);Motorola Mobility LLC
113482109185;2022-05-20;Telefone Móvel Celular;2109119DG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
112752101993;2022-09-23;Telefone Móvel Celular;A2628;iPhone 13 mini;Ambos (SA / NSA);Apple Inc.
112732101993;2022-11-08;Telefone Móvel Celular;A2638;iPhone 13 Pro;Ambos (SA / NSA);Apple Inc.
112722101993;2022-09-19;Telefone Móvel Celular;A2633;iPhone 13;Ambos (SA / NSA);Apple Inc.
112432101993;2022-10-26;Telefone Móvel Celular;A2643;iPhone 13 Pro Max;Ambos (SA / NSA);Apple Inc.
111532203109;2022-10-21;Telefone Móvel Celular;AI2202;Zenfone 9;Ambos (SA / NSA);Asustek Computer Inc.
111522203109;2022-10-18;Telefone Móvel Celular;ASUS_AI2201_C;ROG PHONE 6;Ambos (SA / NSA);Asustek Computer Inc.
111522203109;2022-10-18;Telefone Móvel Celular;ASUS_AI2201_D;ROG PHONE PRO;Ambos (SA / NSA);Asustek Computer Inc.
111172201993;2023-01-31;Telefone Móvel Celular;A2894;iPhone 14 Pro Max;Ambos (SA / NSA);Apple Inc.
111142201993;2023-01-05;Telefone Móvel Celular;A2890;iPhone 14 Pro;Ambos (SA / NSA);Apple Inc.
110482100953;2022-05-30;Telefone Móvel Celular;SM-A528B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
110062000953;2022-05-11;Telefone Móvel Celular;SM-F916B;Galaxy Z Fold2 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
109872201993;2022-09-28;Telefone Móvel Celular;A2886;iPhone 14 Plus;Ambos (SA / NSA);Apple Inc.
109862201993;2022-09-16;Telefone Móvel Celular;A2882;iPhone 14;Ambos (SA / NSA);Apple Inc.
108052113366;2021-12-08;Telefone Móvel Celular;RMX3363;realme GT Master Edition;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
106272200330;2023-02-06;Telefone Móvel Celular;XT2245-1;Motorola Edge 30 Neo;Ambos (SA / NSA);Motorola Mobility LLC
105782208726;2022-08-11;Telefone Móvel Celular;TC15BK;Touch Computer;Ambos (SA / NSA);Zebra Technologies Corporation
090072200953;2022-07-05;Telefone Móvel Celular;SM-A236M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
087062100953;2022-05-10;Telefone Móvel Celular;SM-F926B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086972100953;2022-03-14;Telefone Móvel Celular;SM-F711B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086952100953;2023-02-15;Telefone Móvel Celular;SM-G990E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086862100330;2022-05-12;Telefone Móvel Celular;XT2139-2;Motorola Edge 20 Lite;Non-standalone (NSA);Motorola Mobility LLC
086722200953;2022-08-25;Telefone Móvel Celular;SM-F936B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086572200953;2022-10-08;Telefone Móvel Celular;SM-F721B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
085712000953;2022-04-01;Telefone Móvel Celular;SM-N986B/DS;Galaxy note 20 Ultra 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
085702000953;2022-04-05;Telefone Móvel Celular;SM-N981B/DS;Galaxy Note 20 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
083282003109;2021-02-09;Telefone Móvel Celular;ZS661KS;ROG Phone 3;Ambos (SA / NSA);Asustek Computer Inc.
082162100330;2022-05-20;Telefone Móvel Celular;XT2153-1;Motorola Edge 20 Pro;Non-standalone (NSA);Motorola Mobility LLC
081992100330;2022-05-10;Telefone Móvel Celular;XT2143-1;Motorola Edge 20;Ambos (SA / NSA);Motorola Mobility LLC
081502207600;2022-10-04;Telefone Móvel Celular;T776H;TCL 30 5G;Ambos (SA / NSA);TCL Mobile Communication (HK) Co., Ltd.
081252200330;2022-08-19;Telefone Móvel Celular;XT2243-1;;Ambos (SA / NSA);Motorola Mobility LLC
075932103109;2021-11-26;Telefone Móvel Celular;ZS672KS;Zenfone 8 Flip;Ambos (SA / NSA);Asustek Computer Inc.
071302100330;2022-05-20;Telefone Móvel Celular;XT2149-1;Motorola Moto G50 5G;Non-standalone (NSA);Motorola Mobility LLC
070862103109;2021-11-26;Telefone Móvel Celular;ZS590KS;Zenfone 8;Ambos (SA / NSA);Asustek Computer Inc.
067992200330;2022-08-08;Telefone Móvel Celular;XT2241-2;;Ambos (SA / NSA);Motorola Mobility LLC
061792209185;2022-05-17;Telefone Móvel Celular;2203129G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051732113366;2021-11-29;Telefone Móvel Celular;RMX3241;realme 8 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
051192214550;2022-07-12;Telefone Móvel Celular;22041219NY;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051172214550;2022-12-15;Telefone Móvel Celular;22041219G;Redmi 10 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051172214550;2022-12-15;Telefone Móvel Celular;22041219PG;POCO M4 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051152200953;2022-05-09;Telefone Móvel Celular;SM-A136M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
047492109185;2021-11-24;Telefone Móvel Celular;M2103K19G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
047492109185;2021-11-24;Telefone Móvel Celular;M2103K19PG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
047482109185;2021-11-24;Telefone Móvel Celular;M2012K11AG;;Non-standalone (NSA);Xiaomi Communications Co., Ltd.
040032200330;2022-05-06;Telefone Móvel Celular;XT2225-1;;Ambos (SA / NSA);Motorola Mobility LLC
035712200330;2022-05-18;Telefone Móvel Celular;XT2223-2;;Ambos (SA / NSA);Motorola Mobility LLC
032742200953;2022-05-06;Telefone Móvel Celular;SM-M336B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
030722200953;2022-05-05;Telefone Móvel Celular;SM-M536B/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
030582109185;2021-11-26;Telefone Móvel Celular;M2011K2G;;Non-standalone (NSA);Xiaomi Communications Co., Ltd.
028742200953;2022-05-06;Telefone Móvel Celular;SM-M236B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
022972000330;2022-05-09;Telefone Móvel Celular;XT2063-3;Motorola Edge;Non-standalone (NSA);Motorola Mobility LLC
022852203589;2022-05-06;Telefone Móvel Celular;X6815B;ZERO 5G;Ambos (SA / NSA);POSITIVO TECNOLOGIA S.A.
021632103109;2022-05-11;Telefone Móvel Celular;ZS673KS;ROG Phone 5;Ambos (SA / NSA);Asustek Computer Inc.
021632103109;2022-05-11;Telefone Móvel Celular;ZS676KS;ROG Phone 5s;Ambos (SA / NSA);Asustek Computer Inc.
021402209185;2022-12-21;Telefone Móvel Celular;2201116PG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
021402209185;2022-12-21;Telefone Móvel Celular;2201116SG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
021282200953;2022-08-22;Telefone Móvel Celular;SM-G781B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
007442200330;2023-02-08;Telefone Móvel Celular;XT2203-1;Motorola Edge 30;Ambos (SA / NSA);Motorola Mobility LLC
006002106667;2022-04-29;Telefone Móvel Celular;Lenovo L79031;Lenovo Legion Phone Duel;Non-standalone (NSA);Lenovo PC HK Limited.
005372209185;2022-07-28;Telefone Móvel Celular;2201123G;Xiaomi 12;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
004312200953;2022-03-09;Telefone Móvel Celular;SM-A226BR/DSN;;Non-standalone (NSA);Samsung Electronics Co Ltd.
004002213366;2022-03-07;Telefone Móvel Celular;RMX3301;(realme GT 2 Pro);Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
003792000330;2022-02-11;Telefone Móvel Celular;XT2061-3;Motorola Edge Plus;Non-standalone (NSA);Motorola Mobility LLC
002822200953;2022-03-09;Telefone Móvel Celular;SM-A736B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
001472314550;2023-03-03;Telefone Móvel Celular;22101320G;POCO X5 PRO 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
000512201993;2023-02-13;Telefone Móvel Celular;A2783;iPhone SE;Ambos (SA / NSA);Apple Inc.
